data_source,game_title,release_date,rating,review_count,discounted_price,original_price,discount_percentage,genres,platform,developer,publisher,description,release_status,game_url
GOG,Werewolf: The Apocalypse - Purgatory,23-07-2024,60,13,13.99,0,0,"Role-Playing, Visual Novel, Narrative","Windows, Mac, Linux",Different Tales,Pretty Soon,"Battle monsters, investigate insidious conspiracies and explore the dark side of (in)human nature in Werewolf: The Apocalypse — Purgatory, a unique blend of dark fantasy thriller, visual novel and tabletop RPG set in the World of Darkness universe. UNLEASH THE BEAST Investigate murder, monsters and",Released,https://www.gog.com/en/game/werewolf_the_apocalypse_purgatory
GOG,Train Life - A Railway Simulator,24-06-2024,72,19,19.99,1.99,0,"Strategy, Simulation, Managerial",Windows,Simteract,Nacon,"For the first time in a railway simulator, you are the driver and the company manager!TAKE THE CONTROLS OF YOUR TRAIN AND TRAVEL EUROPE Drive your passengers or goods across 10 countries and explore the countryside, towns, forests and mountains of Europe from your cab. Each locomotive has i",Released,https://www.gog.com/en/game/train_life_a_railway_simulator
GOG,EARLY ACCESS Whiskerwood,06-11-2025,90,6,32.9,26.32,0,"Simulation, Strategy, Historical",Windows,Minakata Dynamics,Hooded Horse,"From city building to grand strategy, turn-based tactics to RTS, see more strategy games from Hooded Horse. Carve mountains, traverse seas, and explore untamed new lands as you build grand cities – the ingenuity of the humble mouse is on full display in Whiskerwood as you establish elaborate au... This game is currently in Early Access. Learn more about early access.Visit the forums and learn more about this game.",Released,https://www.gog.com/en/game/whiskerwood
GOG,Biped 2,05-11-2025,78,1,20.28,14.19,0,"Action, Adventure, Platformer",Windows,"META Publishing, NEXT Studios",META Publishing,"Biped 2 is the sequel of the exciting game about two charming bipedal robots, Aku and Sila, who rely on each other and embark on incredible adventures side by side. Dive into the groovy co-op action-adventure game, full of puzzles, friendship, support, and fun! After bra",Released,https://www.gog.com/en/game/biped_2
GOG,Foolish Mortals,05-11-2025,100,21,21.36,19.22,0,"Adventure, Point-And-Click, Puzzle","Windows, Mac",Inklingwood Studios,Inklingwood Studios,"DEVIL'S ROCK An island off the coast of Louisiana 1933 “Ever since I heard of the treasure inside Bellemore Manor I've been obsessed by it. People said the house was still haunted by the ghosts of the wedding that disappeared there decades ago, but if the ghosts knew where the treasure was hidden,",Released,https://www.gog.com/en/game/foolish_mortals
GOG,Second Sun,05-11-2025,94,2,21.36,18.15,0,"Action, Adventure, Open World",Windows,Grey Wolf Entertainment,Iceberg Interactive,"WELCOME TO SECOND SUN, A PASSION PROJECT BY AN INDIE DEV TEAM A civil war rages between the Empire and the Order of the Second Sun. The land has been ravaged and the Empire is on the verge of ruin. Hope is dwindling rapidly, as the Good Sun's light dims. You are a Sunborn, a warrio",Released,https://www.gog.com/en/game/second_sun
GOG,Silly Polly Beast,28-10-2025,88,8,21.36,18.15,0,"Shooter, Action, Horror",Windows,Anji,"Top Hat Studios, Inc.","Embrace your inner demon or be consumed by it. Perpetually unlucky Polly escapes a nightmarish orphanage... only to find herself trapped in the underworld. The city was shrouded in fog. Deadly fog. They say that if you see such a sign, be careful. Your fog bracelet will illumi",Released,https://www.gog.com/en/game/silly_polly_beast
GOG,Wreckreation,28-10-2025,64,9,43.87,39.48,0,"Racing, Building, Sandbox",Windows,Three Fields Entertainment,THQ Nordic GmbH,"Because Infinite Power is Infinitely Fun What if a single key could open up an entire 400 square kilometer driving game universe? You’ve probably thought about it. The seemingly infinite number of what-ifs inside your head after pouring countless hours into racing, open world and buil",Released,https://www.gog.com/en/game/wreckreation
GOG,Sacred 2 Remaster,11-11-2025,40,28,19.99,17.99,0,"Adventure, Role-Playing, Fantasy",Windows,"SparklingBit, Funatics, Nukklear",THQ Nordic GmbH,"Sacred 2 Gold is included with the purchase of Sacred 2 Remaster. Ancaria stands on the brink. T-Energy, the mysterious power source that once brought prosperity, now fuels corruption, conflict, and chaos. In the midst of war and betrayal, seven heroes rise — each with their own fate, abi",Released,https://www.gog.com/en/game/sacred_2_remaster
GOG,Wall World 2,11-11-2025,90,6,12.93,11.63,0,"Strategy, Adventure, Roguelike","Windows, Mac",Alawar,Alawar,"The world of the Wall awaits. Wall World 2 builds on the mining rogue-lite experience with expanded mechanics, new challenges, and deeper gameplay. Explore procedurally generated mines full of new discoveries and dangers. Extract valuable resources, harness lost technologies, and upgrade your robosp",Released,https://www.gog.com/en/game/wall_world_2
GOG,Beneath,27-10-2025,46,7,21.91,16.43,0,"Shooter, Survival, Horror",Windows,Camel 101,Wired Productions,"Descend into the abyss and face your deepest fears in Beneath, a Lovecraftian first-person survival-horror action adventure. Seasoned diver Noah Quinn’s routine expedition plunges into chaos, trapping him in the depths of the ocean, where an ancient evil lurks. As supplies dwindle and nightmar",Released,https://www.gog.com/en/game/beneath
